Year,Firstname,Lastname,Category,Prize_Share,Motivation,Laureate_Id,Gender,Birth_Date,Birth_Country,Birth_City,Birth_Country_Code,Death_Date,Death_Country,Death_City,Death_Country_Code,Organization_Name,Organization_City,Organization_Country,Birth_Year
1901,Wilhelm Conrad,Röntgen,Physics,1,in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him,1,male,1845-03-27,Prussia (now Germany),Lennep (now Remscheid),DE,1923-02-10,Germany,Munich,DE,Munich University,Munich,Germany,1845
1901,Emil,von Behring,Medicine,1,for his work on serum therapy especially its application against diphtheria by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths,293,male,1854-03-15,Prussia (now Poland),Hansdorf (now Lawice),PL,1917-03-31,Germany,Marburg,DE,Marburg University,Marburg,Germany,1854
1901,Henry,Dunant,Peace,2,for his humanitarian efforts to help wounded soldiers and create international understanding,462,male,1828-05-08,Switzerland,Geneva,CH,1910-10-30,Switzerland,Heiden,CH,,,,1828
1901,Frédéric,Passy,Peace,2,for his lifelong work for international peace conferences diplomacy and arbitration,463,male,1822-05-20,France,Paris,FR,1912-06-12,France,Paris,FR,,,,1822
1901,Sully,Prudhomme,Literature,1,in special recognition of his poetic composition which gives evidence of lofty idealism artistic perfection and a rare combination of the qualities of both heart and intellect,569,male,1839-03-16,France,Paris,FR,1907-09-07,France,Châtenay,FR,,,,1839
1901,Jacobus H.,van 't Hoff,Chemistry,1,in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions,160,male,1852-08-30,the Netherlands,Rotterdam,NL,1911-03-01,Germany,Berlin,DE,Berlin University,Berlin,Germany,1852
1902,Emil,Fischer,Chemistry,1,in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses,161,male,1852-10-09,Prussia (now Germany),Euskirchen,DE,1919-07-15,Germany,Berlin,DE,Berlin University,Berlin,Germany,1852
1902,Theodor,Mommsen,Literature,1,the greatest living master of the art of historical writing with special reference to his monumental work <I>A history of Rome</I>,571,male,1817-11-30,Schleswig (now Germany),Garding,DE,1903-11-01,Germany,Charlottenburg,DE,,,,1817
1902,Albert,Gobat,Peace,2,for his eminently practical administration of the Inter-Parliamentary Union,465,male,1843-05-21,Switzerland,Tramelan,CH,1914-03-16,Switzerland,Bern,CH,,,,1843
1902,Élie,Ducommun,Peace,2,for his untiring and skilful directorship of the Bern Peace Bureau,464,male,1833-02-19,Switzerland,Geneva,CH,1906-12-07,Switzerland,Bern,CH,,,,1833
